latitude,longitude,altitude,geometry,coordinates,@id,access,addr:street,amenity,bicycle,bus,capacity,charge,fee,hgv,motor_vehicle,opening_hours,operator,parking:fee,payment:nfc,socket:type2_combo,socket:type2_combo:output,addr:city,addr:housenumber,addr:postcode,payment:contactless,ref,website,name,operator:wikidata,payment:cards,atmotorway,socket:chademo,socket:chademo:output,brand,brand:wikidata,motorcar,panoramax,socket:type2,source,source:date,source:url,scooter,authentication:app,authentication:membership_card,ref:EU:EVSE,ref:ocm,addr:country,socket:type2:output,amperage,fixme,rwetempcharging_station:plug,source:delivery_date,voltage,authentication:nfc,capacity:charging,covered,level,truck,wheelchair,authentication:none,brand:website,fuel:electricity,internet_access,internet_access:fee,lit,maxheight,phone,payment:app,payment:membership_card,description,payment:credit_cards,maxstay,authentication:phone_call,url,operator:wikipedia,check_date,network,payment:cash,payment:qr_code,atmotorroad,self_service,note,output,socket:chademo:voltage,socket:type2_cable,socket:type2_cable:output,payment:debit_cards,source:website,charging_station:output,image,socket:ccs,socket:ccs:output,name:en,phone:NL,panoramax:0,panoramax:1,panoramax:2,branch,manufacturer,no:network,socket:type2_combo:voltage,short_name,socket:type2_combo:current,description:en,start_date,socket:type2:current,power,authentication:contactless,motorcycle,man_made,brand:wikipedia
,,,Polygon,"5.8263524,50.9812882,5.826341,50.9812884,5.8262736,50.9810882,5.8265834,50.9810178,5.8267146,50.9812468,5.8266752,50.9812522,5.8263524,50.9812882",way/1080286070,yes,Industrieweg,charging_station,yes,yes,6,0.71 EUR / kWh,yes,yes,yes,24/7,LEAP24,no,yes,6,120kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"4.3634667,52.0260169,4.3635707,52.0259278,4.3637173,52.0259925,4.3636134,52.0260816,4.3634667,52.0260169",way/1242843067,yes,Kleveringweg,charging_station,,,4,0.59 EUR / kWh,yes,,,,LEAP24,,,4,120kW,Delft,9a,2616LZ,yes,NLEFLEV5292582;NLEFLEV5396223;NLEFLEV3381842;NLEFLEV1622856,https://leap24.eu/snelladen-delft/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"4.78365,52.328796,4.7833418,52.3285838,4.7834282,52.3285367,4.7834829,52.3285739,4.7835337,52.3285794,4.7835402,52.3285448,4.7839528,52.3285853,4.7840126,52.3286268,4.7837627,52.3287649,4.78365,52.328796",way/1242866409,yes,,charging_station,,,10,0.59 EUR / kWh,yes,,,,LEAP24,,,10,300 kW,,,,yes,,https://leap24.eu/,LEAP24,Q130302573,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5432477,53.0159008,6.5432791,53.0159025,6.5433106,53.0158997,6.5433364,53.015893,6.5433595,53.0158829,6.5435218,53.0157932,6.5435812,53.0157641,6.5436026,53.0157617,6.54362,53.0157623,6.5436368,53.0157655,6.543904,53.0158519,6.5439959,53.0158829,6.5440093,53.0158906,6.5440186,53.0159019,6.5440224,53.0159083,6.5440242,53.0159175,6.5440217,53.0159618,6.5440175,53.0160096,6.544014,53.0160686,6.5440157,53.0160824,6.544021,53.0160977,6.5440398,53.0161223,6.5440666,53.0161415,6.5441163,53.0161607,6.5440073,53.0161365,6.5439415,53.0161181,6.5437806,53.0160735,6.543612,53.0160219,6.5434011,53.0159523,6.5432477,53.0159008",way/1278434206,yes,verzorgingsplaats Zeijerveen,charging_station,,,8,,yes,,,24/7,Fastned,no,,8,300 kW,Assen,2,9406ZZ,,,,Fastned Zeijerveen,Q19935749,,yes,2,50 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.1506589,52.2233408,5.150695,52.2233318,5.150721,52.2233754,5.1506869,52.2233839,5.1506589,52.2233408",way/1292358482,,,charging_station,,,2,,,,,Mo-Fr 09:00-21:00; Sa 09:00-18:00; Su 12:00-17:00,Shell Recharge,,,2,330 kW,,,,,,,,Q105883058,,,,,Shell Recharge,Q105883058,yes,b804ee04-3e21-42e7-8c7b-1d38e9054138,0,survey,2024-06-14,https://www.evernote.com/shard/s1/sh/def50062-3868-6b04-3e15-4be6928cd330/G6KHaRtKkFTGKnhdf63CRUB-GJAVqWhhGesaWIzFfQWBPKCerRN0MyZRQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.1505543,52.2233667,5.1505893,52.223358,5.1506182,52.2234009,5.1505833,52.2234095,5.1505543,52.2233667",way/1292358486,,,charging_station,,,2,,,,,Mo-Fr 09:00-21:00; Sa 09:00-18:00; Su 12:00-17:00,Shell Recharge,,,2,330 kW,,,,,,,,Q105883058,,,,,Shell Recharge,Q105883058,yes,b804ee04-3e21-42e7-8c7b-1d38e9054138,0,survey,2024-06-14,https://www.evernote.com/shard/s1/sh/def50062-3868-6b04-3e15-4be6928cd330/G6KHaRtKkFTGKnhdf63CRUB-GJAVqWhhGesaWIzFfQWBPKCerRN0MyZRQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5722069,53.0250219,6.5723088,53.0249887,6.5723805,53.0250684,6.5722786,53.0251016,6.5722069,53.0250219",way/1318137789,yes,,charging_station,no,no,4,,,no,,,TotalEnergies,,,2,175kW,,,,,,,,Q154037,,,2,100kW,,,yes,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.8521339,51.8203075,5.8521987,51.8202967,5.852216,51.8203368,5.8521512,51.8203475,5.8521339,51.8203075",way/1324661308,,Sint Jacobslaan,charging_station,,,2,,yes,,,24/7,Eneco,,,2,50 kW,Nijmegen,61,6533BP,,,,,Q1341079,,,,,Eneco,Q1341079,yes,,,,,,,yes,yes,NL*ENE*EENEALP*01233*1;NL*ENE*EENEALP*01233*2,OCM-127708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.8385432,51.8084541,5.8385445,51.8084101,5.8386332,51.8084111,5.8386319,51.8084551,5.8385432,51.8084541",way/1325494915,yes,Grootstalselaan,charging_station,,,3,,yes,,,24/7,,,,2,175,Nijmegen,141,6533KH,,,,,,,,2,70,Shell Recharge,Q105883058,yes,,,,,,,yes,yes,NL*TNM*EGL31*1*6820*01*1;NL*TNM*EGL31*1*6820*01*2,,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.8217609,51.821698,5.8217086,51.8216671,5.8217578,51.8216353,5.8218101,51.8216661,5.8217609,51.821698",way/1325500029,,Nieuwe Dukenburgseweg,charging_station,,,2,,yes,,,24/7,,,,1,50,Nijmegen,13,6534 AD,,,,,,,,,,Eneco,,yes,,1,,,,,yes,yes,NL*ENE*EENECO*000172*1;NL*ENE*EENEDEL*000206*1,,NL,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
